university_name,gre,tuition_per_semester,student_faculty_ratio,cost_of_living,job_placement_alumni_success,branch
New Mexico Institute of Mining & Tech.,295,22292.0,16.0,20000,78,Data Science
University of Central Arkansas,295,13726.0,17.0,16440,82,Data Science
"Southeastern University, DC",294,30042.0,15.0,32872,84,Data Science
"Southern Oregon University, Ashland",298,26382.0,20.0,20464,81,Data Science
State University of West Georgia,296,20370.0,21.0,18432,78,Data Science
Ball State University,291,26640.0,15.0,20280,86,Data Science
University of Texas El Paso,298,24305.0,19.0,18400,83,Data Science
Columbus State University,299,17834.0,18.0,19344,85,Data Science
Arkansas State University,292,12120.0,17.0,16384,88,Data Science
North Dakota State University,291,14401.0,20.0,21072,84,Data Science
Dakota State University,293,13460.0,17.0,18304,86,Data Science
St Cloud State University,290,17920.0,22.0,18544,84,Data Science
Marquette University,296,43570.0,14.0,36272,83,Data Science
City College of the City of New York,293,20304.0,16.0,25200,80,Data Science
Northeastern Illinois University,294,20994.0,14.0,20608,80,Data Science
University of Detroit Mercy,300,30450.0,11.0,24296,84,Data Science
University of Arkansas Little Rock,299,18957.0,12.0,17040,85,Data Science
Alabama A & M University,296,18634.0,19.0,15360,86,Data Science
"Widener University, Pennsylvania",294,17760.0,12.0,33840,82,Data Science
Alcorn State University,290,7566.0,20.0,15288,88,Data Science
Gannon University,294,28794.0,14.0,27904,86,Data Science
University of Findlay-Ohio,295,32110.0,16.0,21200,83,Data Science
"San Diego State University, California",290,19596.0,27.0,24072,82,Data Science
Northwestern Polytechnic University,297,19290.0,16.0,25000,85,Data Science
Jacksonville State University,297,16320.0,18.0,17000,83,Data Science
Saint Joseph University,296,54470.0,11.0,35776,85,Data Science
Chapman University,299,60874.0,13.0,35200,88,Data Science
Ferris State University,300,16778.0,16.0,21312,80,Data Science
"University of New Haven, CT",292,39120.0,16.0,34616,86,Data Science
"Farleigh Dickinson University, New Jersey",293,47100.0,12.0,31232,88,Data Science
College of William & Mary,297,43400.0,11.0,36400,83,Data Science
East Tennessee State University,296,26603.0,17.0,19600,85,Data Science
"Southwest Texas State University, San Marcos",293,21063.0,23.0,19144,78,Data Science
DePaul University,293,42498.0,17.0,37776,80,Data Science
Mc Neese State University,294,18964.0,22.0,16800,79,Data Science
Oakland University,295,26442.0,23.0,22416,83,Data Science
Sam Houston State University,299,17978.0,23.0,18304,82,Data Science
William Patterson University,291,23740.0,19.0,30368,83,Data Science
Western Carolina University,300,21297.0,17.0,20864,80,Data Science
University of Central Oklahoma,291,16113.0,20.0,16400,82,Data Science
Widener University,291,48206.0,12.0,33840,80,Data Science
"University of St Thomas, MN",293,26240.0,15.0,36376,80,Data Science
Western Illinois university,298,17448.0,15.0,18480,83,Data Science
"Bowling Green State University, Ohio",295,20801.0,20.0,20064,82,Data Science
Delaware State University,296,17344.0,15.0,17280,80,Data Science
"State University of New York, New Paltz",292,23100.0,12.0,25504,84,Data Science
Central Michigan University,297,24120.0,21.0,20400,84,Data Science
University of Southern Mississippi,297,11022.0,17.0,18768,85,Data Science
Indiana University South Bend,300,29028.0,14.0,19200,88,Data Science
Saint Mary’s University San Antonio,296,27610.0,20.0,18720,88,Data Science
"Shippensburg University, PA",294,20362.0,21.0,21600,78,Data Science
East Tennessee State University,293,26603.0,17.0,19600,86,Data Science
"University of Texas, Pan America",300,18420.0,21.0,16576,78,Data Science
Jackson State University,296,24553.0,16.0,15784,87,Data Science
Oklahoma City University,298,29020.0,11.0,18800,85,Data Science
Frostburg State University,290,19590.0,18.0,22112,88,Data Science
"La Salle University, PA",292,31160.0,12.0,30400,82,Data Science
Alfred University,295,32794.0,12.0,28000,86,Data Science
Monmouth University-New Jersey,296,42938.0,13.0,31000,79,Data Science
Southern New Hampshire University,299,33020.0,18.0,29360,79,Data Science
Roosevelt University Chicago,298,29000.0,12.0,24720,80,Data Science
Drake university,297,45216.0,11.0,26960,87,Data Science
Shippensburg University of Pennsylvania,291,20362.0,21.0,21600,80,Data Science
Duquesne University,296,47962.0,12.0,28240,83,Data Science
Georgia College & State University,296,28130.0,17.0,18400,79,Data Science
Georgia Southern University,290,24772.0,22.0,18216,84,Data Science
Kennesaw State University,295,26236.0,22.0,18072,79,Data Science
Long Island University,294,40274.0,13.0,30120,86,Data Science
Loyola University Chicago,291,45543.0,14.0,35200,78,Data Science
Northern Kentucky University,292,23040.0,17.0,20800,88,Data Science
Lawrence Tech University,297,35230.0,11.0,24160,79,Data Science
Clark Atlanta University,291,23226.0,16.0,18528,80,Data Science
"California State University, Northridge",298,18714.0,23.0,22236,83,Data Science
"Catholic University of America, Washington",292,48060.0,8.0,34176,88,Data Science
"Ohio Dominican College (University), Ohio",296,34280.0,14.0,21000,88,Data Science
"Ferris State University, Michigan",294,16778.0,16.0,21312,82,Data Science
"Fitchburg State University, MA",290,16690.0,14.0,24500,87,Data Science
"Hawaii Pacific University, Hawaii",297,27890.0,13.0,31320,81,Data Science
"Northwood University, Michigan",295,27016.0,20.0,27500,84,Data Science
"Johnson and Wales University, RI",293,34478.0,23.0,36000,82,Data Science
"Governors State University, Parkway IL",297,21108.0,9.0,20720,78,Data Science
"Troy State University, Alabama",300,15698.0,15.0,18368,78,Data Science
Stevens Institute of Technology,296,54136.0,10.0,43176,83,Data Science
"Florida Atlantic University, Boca Raton",290,17324.0,24.0,22384,78,Data Science
Golden Gate University,300,19200.0,15.0,27800,78,Data Science
Howard University,292,28440.0,8.0,34176,79,Data Science
Dominican University,290,34850.0,11.0,29648,86,Data Science
California State University,292,18766.0,25.0,16575,81,Mechanical Engineering
Cleveland State University,295,17496.0,17.0,18234,85,Mechanical Engineering
Kent State University,295,21198.0,21.0,17342,82,Mechanical Engineering
New York Institute of Technology,295,27846.0,14.0,36588,84,Mechanical Engineering
University of Louisville,294,27040.0,15.0,17192,79,Mechanical Engineering
University of Houston,291,27675.0,22.0,16888,79,Mechanical Engineering
"California State University, Chico",296,18522.0,23.0,23496,86,Mechanical Engineering
Oklahoma City University,298,22328.0,10.0,22530,80,Mechanical Engineering
"State University of New York, Albany",290,24660.0,19.0,20952,87,Mechanical Engineering
"The University of Colorado, Denver",300,25342.0,16.0,21384,80,Mechanical Engineering
Ohio’s Cleveland State University,293,17496.0,17.0,18234,82,Mechanical Engineering
"Kent University, Ohio",294,21198.0,21.0,17342,78,Mechanical Engineering
Florida Institute of Technology (FIT),295,37000.0,15.0,29124,88,Mechanical Engineering
University of South Dakota,296,12384.0,17.0,16872,82,Mechanical Engineering
University of Memphis,292,26674.0,14.0,17868,78,Mechanical Engineering
Kansas State University,300,24193.0,18.0,17472,88,Mechanical Engineering
University of Alabama at Birmingham (UAB),291,19704.0,19.0,17754,84,Mechanical Engineering
"Widener University, Pennsylvania",292,26460.0,13.0,27414,83,Mechanical Engineering
Rochester Institute of Technology (RIT),292,45808.0,13.0,25272,83,Mechanical Engineering
"Southeastern University, DC",297,18908.0,16.0,33356,79,Mechanical Engineering
Boston University,300,58560.0,10.0,36918,84,Mechanical Engineering
Purdue University,298,28794.0,13.0,19464,80,Mechanical Engineering
University of Southern California,290,61942.0,8.0,39696,82,Mechanical Engineering
University of Florida,293,28658.0,21.0,20616,88,Mechanical Engineering
Illinois Institute of Technology,293,46700.0,12.0,34980,87,Mechanical Engineering
Florida State University,300,24116.0,22.0,21072,80,Mechanical Engineering
University of Texas,299,25848.0,18.0,19656,88,Mechanical Engineering
University of South Florida,292,17324.0,22.0,18588,84,Mechanical Engineering
University of South Carolina,297,35066.0,18.0,19032,80,Mechanical Engineering
Indiana University,300,39324.0,16.0,19296,84,Mechanical Engineering
Arizona State University,302,29428.0,20.0,21912,88,Mechanical Engineering
Stevens Institute of Technology,304,54136.0,10.0,37344,89,Mechanical Engineering
University of Central Florida,304,22467.0,30.0,20172,92,Mechanical Engineering
Drexel University,309,54522.0,11.0,36144,85,Mechanical Engineering
Northern Illinois University,303,20126.0,17.0,18240,90,Mechanical Engineering
Western Kentucky University,301,26000.0,18.0,16884,88,Mechanical Engineering
Central Michigan University,302,24120.0,22.0,18096,90,Mechanical Engineering
Cleveland State University,303,17496.0,17.0,18234,87,Mechanical Engineering
Texas A&M University,305,22827.0,20.0,19344,88,Mechanical Engineering
California State University,304,18522.0,21.0,23496,86,Mechanical Engineering
Western Carolina University,303,22643.0,16.0,19140,88,Mechanical Engineering
University of Nevada,306,20636.0,20.0,19992,90,Mechanical Engineering
University of South Florida,307,17324.0,22.0,18588,90,Mechanical Engineering
SUNY Binghamton,303,25536.0,20.0,20952,86,Mechanical Engineering
Southern Methodist University,301,57560.0,11.0,33732,88,Mechanical Engineering
University of Nebraska,308,25822.0,20.0,18036,87,Mechanical Engineering
New Jersey Institute of Technology,307,31196.0,16.0,36240,87,Mechanical Engineering
University of Tampa,304,17756.0,17.0,27372,89,Mechanical Engineering
University of Houston,305,27675.0,22.0,16888,89,Mechanical Engineering
Colorado State University,303,25536.0,20.0,20400,88,Mechanical Engineering
Rochester Institute of Technology,303,45808.0,13.0,25272,88,Mechanical Engineering
Louisiana State University,307,28639.0,20.0,17952,90,Mechanical Engineering
Auburn University,310,31956.0,19.0,17508,87,Mechanical Engineering
University of Kentucky,303,31924.0,17.0,17580,91,Mechanical Engineering
University of Kansas,307,29251.0,17.0,17472,89,Mechanical Engineering
North Dakota State University,302,14114.0,20.0,16320,86,Mechanical Engineering
University of Arkansas,307,25872.0,18.0,17232,86,Mechanical Engineering
University of Dayton,304,43000.0,16.0,20088,86,Mechanical Engineering
University of New Mexico,304,26142.0,17.0,18408,85,Mechanical Engineering
Villanova University,306,23430.0,12.0,30840,87,Mechanical Engineering
Wright State University,307,17700.0,15.0,17808,87,Mechanical Engineering
Illinois Institute of Technology,302,46700.0,12.0,34980,90,Mechanical Engineering
Kansas State University,309,24193.0,18.0,17472,90,Mechanical Engineering
Missouri State University,308,10098.0,21.0,16200,85,Mechanical Engineering
Northeastern University,306,27360.0,14.0,37428,85,Mechanical Engineering
Oklahoma State University,305,22641.0,18.0,18000,90,Mechanical Engineering
Oregon State University,310,29175.0,18.0,21600,91,Mechanical Engineering
State University of New York Albany,308,24660.0,19.0,20952,86,Mechanical Engineering
Tennessee Technological University,303,24826.0,18.0,17568,86,Mechanical Engineering
Texas Tech University,304,20850.0,20.0,18504,90,Mechanical Engineering
"University of Alabama, Huntsville",302,23586.0,17.0,17754,87,Mechanical Engineering
University of Connecticut,305,41778.0,16.0,20760,89,Mechanical Engineering
University of Louisiana,304,28502.0,19.0,17952,91,Mechanical Engineering
University of Oklahoma,310,23049.0,18.0,17760,88,Mechanical Engineering
University of Pittsburg,309,35196.0,14.0,29832,86,Mechanical Engineering
"University of Texas, Arlington",301,25128.0,25.0,18096,88,Mechanical Engineering
Wayne State University,302,29040.0,18.0,18924,89,Mechanical Engineering
West Virginia University,304,26010.0,18.0,17304,86,Mechanical Engineering
Florida State University,302,24116.0,22.0,21072,85,Mechanical Engineering
George Mason University,304,37284.0,17.0,21744,92,Mechanical Engineering
Georgia State University,306,30160.0,24.0,19680,88,Mechanical Engineering
Indiana University,301,38124.0,16.0,19296,90,Mechanical Engineering
San Jose State University,305,28408.0,27.0,23496,85,Mechanical Engineering
University of Georgia,304,28918.0,17.0,20016,89,Mechanical Engineering
"University of Texas, Dallas",307,27837.0,24.0,19656,86,Mechanical Engineering
New York University,307,61614.0,9.0,39888,86,Mechanical Engineering
San Diego State University,302,19340.0,27.0,24600,91,Mechanical Engineering
University of Wisconsin-Milwaukee,309,25144.0,17.0,19248,91,Mechanical Engineering
Old Dominion University,303,29160.0,16.0,17904,85,Mechanical Engineering
Santa Clara University,309,28350.0,10.0,35160,87,Mechanical Engineering
"Illinois Institute of Technology, Chicago",310,46700.0,12.0,34980,92,Mechanical Engineering
University of Louisiana,305,28502.0,19.0,17952,87,Mechanical Engineering
University of Pittsburgh,301,35196.0,14.0,29832,89,Mechanical Engineering
University of Texas​,309,25848.0,18.0,19656,91,Mechanical Engineering
Pennsylvania State University,318,38728.0,16.0,20880,92,Mechanical Engineering
Ohio State University,320,43904.0,19.0,20760,90,Mechanical Engineering
North Carolina State University,311,28418.0,13.0,20448,90,Mechanical Engineering
Boston University,319,58560.0,10.0,36918,95,Mechanical Engineering
"University of Colorado, Boulder",313,38318.0,18.0,21384,91,Mechanical Engineering
Indiana University Bloomington,315,38124.0,16.0,19296,94,Mechanical Engineering
Arizona State University,319,29428.0,20.0,21912,92,Mechanical Engineering
"University of North Carolina, Greensboro",318,23782.0,18.0,19140,95,Mechanical Engineering
Louisiana State University,320,28639.0,20.0,17952,93,Mechanical Engineering
The University of Alabama at Birmingham,316,19704.0,19.0,17754,93,Mechanical Engineering
New York University,320,61614.0,9.0,39888,94,Mechanical Engineering
University of Iowa,317,31569.0,16.0,19248,90,Mechanical Engineering
"University of Michigan, Dearborn",312,24744.0,18.0,20760,92,Mechanical Engineering
"University of Texas, Dallas",317,27837.0,24.0,19656,90,Mechanical Engineering
University of South Florida,315,17324.0,22.0,18588,90,Mechanical Engineering
Colorado State University,313,25744.0,18.0,20400,92,Mechanical Engineering
University of Florida,320,30130.0,18.0,20616,95,Mechanical Engineering
Tulane University,319,60104.0,8.0,33732,91,Mechanical Engineering
University of Southern California,320,61614.0,9.0,39696,93,Mechanical Engineering
The State University of New York (SUNY) at New Paltz,320,19140.0,15.0,20952,94,Mechanical Engineering
Northeastern University,312,25085.0,14.0,37428,93,Mechanical Engineering
University of Illinois,319,32250.0,20.0,19464,94,Mechanical Engineering
North Carolina State University,317,28418.0,13.0,20448,90,Mechanical Engineering
University of South Carolina,314,38208.0,18.0,19032,95,Mechanical Engineering
Ohio State University,320,40994.0,19.0,20760,90,Mechanical Engineering
Indiana University,319,38124.0,16.0,19296,90,Mechanical Engineering
Boston University,319,56864.0,10.0,36918,92,Mechanical Engineering
University of Colorado,313,36130.0,18.0,21384,90,Mechanical Engineering
University of New Orleans,312,24046.0,18.0,17952,91,Mechanical Engineering
Rice University - George R. Brown School of Engineering,326,47350.0,6.0,40320,95,Mechanical Engineering
University of Michigan Ann Arbor - College of Engineering,324,48612.0,15.0,22800,95,Mechanical Engineering
Georgia Institute of Technology - College of Engineering,328,33794.0,20.0,22800,95,Mechanical Engineering
University of Illinois Urbana-Champaign - College of Engineering,327,31626.0,20.0,22800,95,Mechanical Engineering
Cornell University - College of Engineering,328,30564.0,10.0,39600,97,Mechanical Engineering
Johns Hopkins University - Whiting School of Engineering,330,57556.0,9.0,40800,97,Mechanical Engineering
Duke University - Pratt School of Engineering,327,59604.0,9.0,40800,94,Mechanical Engineering
Brown University - School of Engineering,322,62184.0,7.0,40800,97,Mechanical Engineering
Purdue University - College of Engineering,328,28794.0,14.0,19464,94,Mechanical Engineering
University of Texas Austin - Cockrell School of Engineering,326,24640.0,17.0,22800,94,Mechanical Engineering
University of Wisconsin Madison - College of Engineering,326,37785.0,17.0,22800,94,Mechanical Engineering
Iowa State University - College of Engineering,322,24056.0,19.0,19248,96,Mechanical Engineering
Northwestern University - Robert R. McCormick School of Engineering,328,54568.0,6.0,42000,95,Mechanical Engineering
Vanderbilt University - School of Engineering,325,49866.0,8.0,40800,96,Mechanical Engineering
University of Virginia - School of Engineering and Applied Sciences,330,34628.0,15.0,39600,94,Mechanical Engineering
University of Minnesota Twin Cities - College of Science and Engineering,323,29172.0,17.0,22800,94,Mechanical Engineering
Rensselaer Polytechnic Institute - School of Engineering,324,56004.0,19.0,40800,97,Mechanical Engineering
University of Rochester - Hajim School of Engineering and Applied Sciences,325,43500.0,10.0,39600,97,Mechanical Engineering
University of Southern California - Viterbi School of Engineering,328,61614.0,9.0,40800,95,Mechanical Engineering
University of Maryland College Park - A. James Clark School of Engineering,322,29706.0,15.0,22800,97,Mechanical Engineering
Ohio State University - College of Engineering,328,40994.0,19.0,20760,94,Mechanical Engineering
Virginia Tech - College of Engineering,328,31174.0,14.0,22800,96,Mechanical Engineering
University of California Irvine - Henry Samueli School of Engineering,328,44742.0,14.0,22800,96,Mechanical Engineering
Texas A&M University - Dwight Look College of Engineering,322,30208.0,20.0,19344,93,Mechanical Engineering
North Carolina State University - College of Engineering,329,28418.0,13.0,20448,96,Mechanical Engineering
University of California Santa Barbara - College of Engineering,330,28289.0,24.0,22800,95,Mechanical Engineering
University of Washington - College of Engineering,326,35538.0,19.0,22800,97,Mechanical Engineering
University of California Davis - College of Engineering,327,29429.0,18.0,22800,96,Mechanical Engineering
University of Colorado Boulder - College of Engineering and Applied Sciences,322,36130.0,18.0,21384,96,Mechanical Engineering
Yale University,323,37504.0,16.0,40800,93,Mechanical Engineering
"University of California, Los Angeles",322,50464.0,15.0,22800,93,Mechanical Engineering
"The University of Maryland, College Park",329,38884.0,11.0,22800,95,Mechanical Engineering
University of Chicago,327,30130.0,18.0,40800,93,Mechanical Engineering
Northwestern University,322,30594.0,14.0,42000,97,Mechanical Engineering
University of Massachusetts,328,28800.0,23.0,20760,93,Mechanical Engineering
"University of Washington, Seattle",324,55553.0,11.0,22800,94,Mechanical Engineering
Washington University in St. Louis,325,25085.0,14.0,39600,95,Mechanical Engineering
University of Arizona,322,33150.0,14.0,20400,96,Mechanical Engineering
University of Notre Dame,327,55553.0,11.0,39600,97,Mechanical Engineering
Rensselaer Polytechnic Institute,325,56004.0,19.0,40800,93,Mechanical Engineering
"University of California, Santa Cruz",329,29136.0,18.0,22800,96,Mechanical Engineering
California Institute of Technology - School of Engineering and Applied Science,338,56862.0,3.0,40800,97,Mechanical Engineering
Stanford University - Stanford School of Engineering,334,56169.0,5.0,40800,99,Mechanical Engineering
